.,name,firm
"George earned a BS, MS, and PhD with distinction in teaching from the Computer Science department at Stanford. His 1997 thesis focused on Machine Learning, and one of his papers on the topic of relevance became a top ten most-cited paper in global AI and ML literature. While at Stanford, he won an NSF fellowship and worked at NASA, earning his “rocket scientist” credentials. He has taught a number of courses in Computer Science at Stanford and is an instructor for its famous Lean Launchpad class, teaching entrepreneurial science to MBA and engineering students.",George John,Khosla Ventures
"He is a past board member of the Ad Council and a current volunteer at Reading Partners, STEM Stars, and Loc8Don8, a nonprofit founded by his daughters, who hope to reduce waste and help the needy by encouraging and facilitating donations to charities.",George John,Khosla Ventures
"Irene Au is an operating partner at Khosla Ventures, where she works with portfolio companies to make their design great. She is dedicated to raising the strategic value of design and user research through better methods, practices, processes, leadership and quality. Irene does this by building high performing teams, establishing design practices, mentoring and growing the next generation of great designers and directing the design of interfaces and experiences. She drives strategic discussions at the highest levels of companies, focusing first on user needs to inspire product innovation.",Irene Au,Khosla Ventures
"A lifelong gadget girl and math and science geek, Irene built robots in college and went to graduate school at the University of Illinois at Urbana-Champaign to pursue studies in electrical and computer engineering. There, she found herself surrounded by young men who built technology for the sake of technology; however, Irene’s passion was to build technology inspired by people’s needs directed at solving real problems, so she carved her own path. Through coursework in engineering psychology and human factors, computer science and industrial engineering, she created her own program of study in human-computer interaction (HCI) during a time when studying HCI was unheard of. Irene then went on to be among the first designers with such a background in the consumer Internet space and began her career as an interaction designer at Netscape Communications.",Irene Au,Khosla Ventures
"After Netscape, Irene joined Yahoo! in 1998, where she established Yahoo’s user experience design practice and led the team for eight years. In 2006, Irene joined Google and led the user experience team there for six years, where she was responsible for design and research for all Google-branded products worldwide. Following Google and prior to joining Khosla Ventures, Irene ran product design at Udacity.",Irene Au,Khosla Ventures
"Irene also teaches yoga and meditation at Avalon Art and Yoga Center, one of Palo Alto’s oldest and most established yoga studios. She co-chairs the board of trustees at Bowman International School, a K-8 private Montessori school in Palo Alto, Calif.",Irene Au,Khosla Ventures
"Irene holds a bachelor’s of science degree in electrical and computer engineering from the University of South Carolina Honors College summa cum laude and a master’s of science degree in industrial engineering and human-computer interaction from the University of Illinois, Urbana-Champaign.",Irene Au,Khosla Ventures
"John Demeter is the General Counsel at Khosla Ventures. Prior to joining Khosla, John spent nine years as an attorney with the law firm WilmerHale where he represented both investors and entrepreneurs in general corporate matters, equity and debt financing transactions and merger and acquisition transactions.  From time to time John has also served as an Adjunct Professor at the University of San Francisco School of Law, as well as a guest lecturer at University of San Francisco School of Law and Berkeley Law on the topic of venture capital transactions.",John Demeter,Khosla Ventures
"Prior to law school, John held sales and marketing positions at two venture-backed companies, had an ever so brief career in Bay Area radio, and spent a year working at his family’s small business.  ",John Demeter,Khosla Ventures
"John received a CORe certification from HBX / Harvard Business School, his JD cum laude from University of San Francisco and his Bachelor of Arts in Communications from Boston College.  A Bay Area native, John is passionate about the local sports teams.  He lives in San Francisco with his wife, four young children and loyal dog.",John Demeter,Khosla Ventures
Keith Janosky is the Chief Financial Officer and Head of Investor Relations at Khosla Ventures.  Keith joined Khosla in 2016 and has been in the venture capital industry since 2002.  ,Keith Janosky,Khosla Ventures
"Prior to Khosla, Keith was the Vice President of Finance at Technology Crossover Ventures for 14 years leading their finance and accounting team,  while spending time in their offices in NJ, NY and lastly Palo Alto.  Prior to TCV, Keith worked at Arthur Andersen as an auditor as well as Manager in their partnership with Major League Baseball in developing an authentication program for game used and signed memorabilia.",Keith Janosky,Khosla Ventures
Keith holds a Master of Business Administration degree from Fordham University and a Bachelor  of Science degree in Economics from Lehigh University. ,Keith Janosky,Khosla Ventures
Keith lives with his wife and four children in the San Francisco Bay Area and enjoys coaching his kids in their various sports in his spare time.  ,Keith Janosky,Khosla Ventures
"Leah Scanlan is an operating partner at Khosla Ventures, where she works with entrepreneurs and advises portfolio companies on executive search strategy, leadership and talent development.",Leah Scanlan,Khosla Ventures
"Prior to Khosla Ventures, Leah was a partner at Daversa Partners, a leading executive search firm for high-growth, cutting edge technology companies. While there, she worked with the firm’s consumer Internet, healthcare and enterprise software practices. Leah also led and launched Daversa’s CFO practice, working with some of the most influential CFOs across the globe.",Leah Scanlan,Khosla Ventures
"Throughout her career, Leah has contributed to building high-performance executive management teams at companies including Uber, Twitter, Square, Dropbox, Airbnb, Yelp, Snapchat, AOL, Instacart, DocuSign, ZocDoc, Shazam, Lending Club, RelateIQ and Lithium Technologies. Earlier in her career, she ran marketing and e-commerce for a children’s publishing company.",Leah Scanlan,Khosla Ventures
"Leah holds a bachelor’s degree from Boston University and a master’s degree in business administration from Fairfield University. She also is a passionate supporter for various philanthropic organizations including T.E.A.L. and the Caron Foundation. In her free time, Leah enjoys playing tennis, running and practicing yoga.",Leah Scanlan,Khosla Ventures
"Paul Kirincich advises portfolio companies as a former CFO and finance executive of a series of venture-backed companies including Netflix, One Medical Group, Extend Health (sold to Towers Watson) and Reputation.com. Prior to joining KV he worked independently advising management, Board of Directors and investors of early to mid-stage venture-back companies on corporate and financing strategy, business model development, financial planning and finance organizational development.  ",Paul Kirincich,Khosla Ventures
" Paul received an MBA from The Wharton School and a BA from Wesleyan University.  His free time is devoted to his family which includes three pre-high school-aged children, exercises regularly and when he can indulges his fondness for long distance cycling, cooking, golf and his New York sports teams.",Paul Kirincich,Khosla Ventures
